"","V1","V2","V3","V4","V5","V6","headline","date","url","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"5175","Coronavirus","Berichterstattung","Journalismus","Christian Drosten","Deutschland",NA,"no","2020-04-09T08:05:49.426285+00:00","http://xml.zeit.de/politik/deutschland/2020-04/journalismus-coronavirus-medien-bernhard-poerksen-politikpodcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5176","Europa","Mittelmeer","Afrika","Krieg","Coronavirus","Tripolis","no","2020-04-09T06:54:43.206688+00:00","http://xml.zeit.de/politik/ausland/2020-04/libyen-kampf-tripolis-coronavirus-pandemie-fluechtlinge","Libyen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5177","Coronavirus","Jemen","Waffenruhe","Saudi-Arabien","BÃ¼rgerkrieg",NA,"Politik Ausland","2020-04-09T09:51:43.189095+00:00","http://xml.zeit.de/politik/ausland/2020-04/krieg-jemen-saudi-arabien-waffenruhe-zwei-wochen-coronavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5178","Oslo","QuarantÃ¤ne","Coronavirus","Pandemie","Social Distancing","Infektionsschutz","2020-04-09T06:39:15.286655+00:00","no","http://xml.zeit.de/campus/2020-04/quarantaene-oslo-familienleben","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5179","Familie","Coronavirus","Bonbon",NA,NA,NA,"yes","no","http://xml.zeit.de/2020/16/grosseltern-besuche-enkelkinder-coronavirus-naehe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5180","Coronavirus","Alexander Gauland","JÃ¶rg Meuthen","BrÃ¼ssel","Berlin","Sachsen","yes","2020-04-14T14:11:36.882768+00:00","http://xml.zeit.de/politik/deutschland/2020-04/afd-coronavirus-strategie-krise-migranten-covid-19","AfD","Bundestag","Bundesregierung","Verfassungsschutz","Euro-Bond","Virus","Demokratie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5181","Pandemie","Coronavirus","Libanon","Lesbos","Covid-19",NA,"yes","2020-04-09T03:56:18.496916+00:00","http://xml.zeit.de/politik/2020-04/corona-pandemie-hilfsorganisationen-fluechtlingslager-nachrichtenpodcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5182","Epidemie","Virus","Infektion","Coronavirus","Covid-19","Lebensmittel","Wissen Gesundheit;Z+ Archiv","2020-08-27T14:57:16.506006+00:00","http://xml.zeit.de/2020/16/schmierinfektionen-coronavirus-oberflaechen-beruehrung-ansteckungsrisko","Kontaktverbot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5183","Benjamin Netanjahu","Coronavirus","Israel","Leipzig","Osteuropa","Baltikum","yes","2020-04-16T17:17:15.146144+00:00","http://xml.zeit.de/entdecken/2020-04/coronavirus-orthodoxe-juden-israel-pandemie-covid-19","Tel Aviv","Italien","Ukraine","Facebook","WhatsApp","Virus","Familie","Covid-19","Krise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5184","Gesundheitssystem","Coronavirus","Donald Trump","USA","Chicago","New York","no","2020-04-09T14:50:18.063677+00:00","http://xml.zeit.de/politik/ausland/2020-04/coronakrise-usa-donald-trump-afroamerikaner-weisse","Coronakrise","Krise","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
